arm,mode,channel,total,correct,incorrect,answered,accuracy,penalized,answer_rate,precision,decoy_rate
classical,abstain_ok,formula,108.0,41.0,20.0,61.0,0.37962962962962965,0.19444444444444445,0.5648148148148148,0.6721311475409836,0.5555555555555556
classical,abstain_ok,text,108.0,108.0,0.0,108.0,1.0,1.0,1.0,1.0,
classical,forced,formula,108.0,45.0,62.0,107.0,0.4166666666666667,-0.1574074074074074,0.9907407407407407,0.4205607476635514,0.6111111111111112
classical,forced,text,108.0,108.0,0.0,108.0,1.0,1.0,1.0,1.0,
